base_unit_cost,competitor_price_ratio,historical_demand_index,promotional_lift_pct,inventory_coverage_days,macro_seasonality_factor,will_convert_purchase
56.563,0.866,650.335,0.164,45,0.875,1
22.821,0.739,734.038,0.241,42,0.854,1
62.156,1.037,207.26,0.209,24,0.918,0
50.077,1.027,302.684,0.006,5,0.858,0
38.771,1.001,696.417,0.138,16,1.137,0
54.492,0.894,458.467,0.179,4,0.853,0
79.06,0.874,399.242,0.17,34,0.819,1
47.728,1.12,311.876,0.07,50,1.354,0
48.723,0.967,416.747,0.353,40,1.192,0
38.11,1.097,289.645,0.018,35,0.628,1
32.252,0.917,813.664,0.033,48,0.847,1
57.455,1.077,496.635,0.139,44,1.048,1
32.159,1.245,491.307,0.289,8,1.065,0
46.073,1.138,588.212,0.053,43,0.702,1
37.835,0.988,644.352,0.099,41,1.232,1
52.185,1.089,641.883,0.206,27,1.165,0
50.005,1.014,661.043,0.119,36,1.096,1
60.563,1.051,405.373,0.093,13,1.271,0
37.35,1.001,455.32,0.165,48,1.09,1
40.952,1.025,615.355,0.142,39,1.09,1
30.319,1.082,420.892,0.202,43,1.312,0
38.336,0.901,499.234,0.223,9,1.22,0
50.66,0.898,559.815,0.145,59,0.832,1
56.355,0.842,617.778,0.143,48,1.127,1
31.168,0.81,233.348,0.137,50,0.867,1
58.044,0.867,607.212,0.159,24,1.101,0
65.335,1.074,464.941,0.124,50,1.095,1
51.202,0.916,606.119,0.12,41,0.723,1
73.152,1.127,616.54,0.216,12,0.976,0
33.393,1.055,741.187,0.241,23,1.053,1
26.33,0.755,703.018,0.0,8,0.913,1
18.319,1.148,701.986,0.121,51,1.063,1
67.441,1.172,716.551,0.065,3,1.161,0
54.815,0.901,543.707,0.095,36,0.994,1
44.166,1.113,504.828,0.152,16,1.045,0
49.2,0.922,630.923,0.174,38,1.277,0
28.118,1.065,609.812,0.111,29,1.095,0
81.686,0.86,453.64,0.0,11,1.04,1
46.938,0.781,560.724,0.043,57,0.808,1
46.641,0.993,494.736,0.192,8,1.134,0
55.886,1.031,371.91,0.0,33,1.066,1
52.215,0.99,693.569,0.215,19,1.257,0
48.358,0.872,508.28,0.162,55,1.009,1
33.143,0.99,807.306,0.225,45,0.637,1
52.072,1.09,256.176,0.104,38,0.66,1
73.23,1.043,416.483,0.0,23,1.147,0
65.181,1.077,504.896,0.154,29,0.886,0
68.898,0.949,670.607,0.222,43,1.087,1
37.332,1.226,559.92,0.194,30,1.023,0
30.156,0.874,546.571,0.067,18,0.967,0
43.113,1.123,330.91,0.127,37,0.981,0
45.836,1.227,326.459,0.077,38,0.827,1
61.413,1.122,548.376,0.054,58,0.997,1
19.613,1.02,295.384,0.196,37,0.883,0
67.943,0.971,420.218,0.024,47,0.926,1
42.63,1.205,575.138,0.048,21,0.935,1
38.597,0.837,352.651,0.032,59,0.955,1
29.818,0.904,740.803,0.001,23,1.184,1
20.177,0.99,683.59,0.132,60,0.974,1
57.348,1.236,264.287,0.213,35,1.205,0
46.1,1.107,360.144,0.105,25,1.308,0
25.651,0.905,157.133,0.0,57,1.171,0
25.574,1.003,382.611,0.187,8,1.107,0
39.963,0.958,614.958,0.255,34,1.065,0
70.035,0.944,437.916,0.068,24,1.173,0
41.106,1.197,569.12,0.082,5,1.018,0
22.453,0.844,271.65,0.161,37,1.197,0
41.314,1.291,619.696,0.25,18,1.123,0
40.909,1.174,416.734,0.078,44,0.928,1
10.0,1.214,501.825,0.013,27,1.179,0
44.186,0.981,486.069,0.171,19,1.018,0
41.536,1.028,309.268,0.184,41,0.979,1
55.443,0.835,327.037,0.12,15,0.905,0
72.734,0.971,645.169,0.075,30,1.033,1
61.898,1.124,559.849,0.2,13,1.199,0
40.967,1.244,657.507,0.162,12,1.178,0
28.402,0.884,548.699,0.059,41,1.071,1
83.6,0.995,521.449,0.124,26,1.12,0
45.888,1.027,241.098,0.012,40,1.254,0
45.209,0.841,459.445,0.175,26,0.97,0
44.638,1.139,495.892,0.099,35,0.777,1
47.971,0.941,792.966,0.085,19,1.26,0
42.835,1.021,603.043,0.117,59,0.894,1
36.395,0.982,730.409,0.123,46,0.862,1
36.797,0.932,589.631,0.192,38,0.641,1
44.509,1.049,393.305,0.167,37,1.114,0
36.849,1.018,517.569,0.107,8,0.676,1
34.307,0.994,535.434,0.181,60,0.85,1
46.596,0.941,359.127,0.152,18,1.118,0
41.175,1.098,442.342,0.086,47,1.144,1
67.56,1.298,469.135,0.11,30,0.87,0
10.0,1.071,740.843,0.108,43,0.973,1
61.373,1.199,187.889,0.16,34,0.825,0
63.691,0.841,680.873,0.091,28,0.89,1
13.899,1.074,359.481,0.089,13,1.053,0
39.86,0.885,294.188,0.278,54,0.9,1
39.428,0.828,676.991,0.195,27,0.951,0
23.887,0.939,609.785,0.059,33,0.707,1
33.333,1.229,688.178,0.166,23,1.227,0
28.341,1.193,620.105,0.129,47,1.102,1
71.284,1.086,808.977,0.151,57,1.159,1
59.035,0.82,583.809,0.131,53,1.258,1
64.073,1.021,476.528,0.215,5,0.835,0
55.825,1.095,551.439,0.148,14,0.928,0
28.064,1.076,686.52,0.115,53,0.621,1
37.132,0.773,383.094,0.203,42,1.628,0
52.341,0.916,402.217,0.139,48,0.97,1
26.668,1.04,453.656,0.13,56,1.208,1
55.695,1.13,184.313,0.145,43,0.752,1
41.395,0.721,520.712,0.113,27,1.199,0
39.378,1.026,217.081,0.121,58,1.372,0
55.664,1.071,507.959,0.073,19,0.988,0
51.664,1.177,629.793,0.06,40,0.798,1
39.586,1.154,428.469,0.04,38,0.972,1
62.39,1.137,751.567,0.009,38,0.555,1
28.784,0.93,280.925,0.05,21,0.992,0
54.239,0.764,678.689,0.106,46,1.164,1
53.897,0.991,601.271,0.128,59,0.993,1
40.357,1.2,242.595,0.098,4,0.943,0
49.892,1.259,906.619,0.0,19,1.106,1
26.233,1.157,490.438,0.246,32,1.121,0
58.86,1.114,368.377,0.207,49,0.668,1
42.226,1.107,288.937,0.156,12,1.018,0
37.159,0.967,466.997,0.273,37,1.487,0
60.735,1.03,480.889,0.042,54,0.733,1
34.435,1.3,515.397,0.271,38,0.983,0
23.873,0.909,455.331,0.043,56,1.388,0
21.651,1.292,594.984,0.139,35,1.221,0
54.09,1.002,441.856,0.018,3,0.897,1
25.794,1.249,209.755,0.121,20,1.041,0
71.322,0.839,477.596,0.151,6,1.0,0
13.771,1.138,144.878,0.108,57,0.85,1
70.447,0.939,553.066,0.177,56,0.985,1
48.165,0.838,353.105,0.128,49,0.944,1
43.549,1.083,524.504,0.078,29,1.023,1
36.826,1.201,697.111,0.075,27,0.85,1
50.987,0.923,357.688,0.185,57,0.745,1
44.435,0.825,659.188,0.068,30,0.992,1
61.55,1.036,434.992,0.193,55,1.343,0
46.713,1.037,762.979,0.218,24,1.016,0
47.255,1.132,445.227,0.0,44,0.934,1
39.546,1.192,373.926,0.211,27,1.151,0
44.146,1.041,603.086,0.285,19,0.968,0
49.617,1.328,434.632,0.14,59,1.374,0
19.347,1.084,373.783,0.168,56,0.999,0
24.777,0.998,428.324,0.203,46,1.14,0
56.149,0.808,493.309,0.098,54,0.849,1
47.563,1.011,701.327,0.135,14,1.101,1
42.24,1.0,209.887,0.015,18,1.055,0
45.277,1.194,503.462,0.131,39,0.989,0
50.214,1.119,593.736,0.16,18,0.9,0
36.904,0.873,529.017,0.161,19,0.872,0
33.325,1.076,696.48,0.205,57,1.056,1
47.938,1.151,488.848,0.058,33,1.126,0
30.324,1.279,472.317,0.077,17,0.975,0
51.124,1.183,588.849,0.272,15,1.057,0
19.461,1.164,514.897,0.108,42,0.992,0
60.437,1.059,441.439,0.136,29,1.02,0
52.089,1.108,577.422,0.115,23,0.96,1
48.84,1.237,402.121,0.054,4,1.004,0
59.74,0.85,408.323,0.25,10,1.54,0
69.982,0.998,420.801,0.078,44,1.062,1
60.216,0.934,702.96,0.03,9,1.129,1
17.387,1.107,50.0,0.084,12,1.088,0
25.806,1.235,559.34,0.0,59,0.947,1
35.628,0.96,505.141,0.068,6,1.259,0
45.391,0.691,247.869,0.043,45,0.942,1
52.765,0.988,546.459,0.169,43,1.211,0
34.114,1.187,571.363,0.066,38,0.933,1
47.802,1.131,588.446,0.191,37,0.808,1
33.669,1.114,102.226,0.232,45,1.073,0
35.827,1.008,704.958,0.182,5,0.779,1
23.9,0.858,389.339,0.103,60,1.107,1
31.152,1.127,602.985,0.131,20,0.761,0
24.725,0.925,611.161,0.0,60,0.936,1
30.362,1.378,368.495,0.109,53,0.714,1
60.805,1.136,599.069,0.051,48,1.565,0
30.759,0.963,442.176,0.176,58,0.669,1
84.486,0.958,189.293,0.326,45,1.002,0
52.4,1.036,675.161,0.16,26,1.229,0
47.773,1.014,383.743,0.0,34,1.207,1
32.125,1.218,371.826,0.091,36,1.17,0
55.505,1.078,439.54,0.13,4,0.937,0
36.365,0.94,540.836,0.127,4,1.27,0
46.83,1.334,491.409,0.062,12,1.183,0
83.401,1.057,582.21,0.14,25,1.042,0
43.559,1.165,299.077,0.021,17,1.048,0
62.239,0.959,388.642,0.044,56,0.939,1
34.452,1.104,482.6,0.172,14,0.818,0
44.475,1.097,784.683,0.039,45,1.247,1
71.562,0.767,482.928,0.163,19,1.262,0
35.595,1.352,662.783,0.01,20,0.823,1
72.187,1.244,505.783,0.261,16,0.969,0
55.616,0.99,427.451,0.058,19,0.971,1
36.563,0.885,462.991,0.102,17,0.993,0
54.486,1.102,474.737,0.146,14,1.013,0
59.588,1.063,590.547,0.075,18,1.189,0
54.327,1.103,706.192,0.131,34,0.851,1
21.447,1.079,553.952,0.166,25,0.831,0
34.093,1.126,678.062,0.197,40,1.247,0
41.287,1.267,355.282,0.183,36,0.907,0
43.883,1.135,437.805,0.106,36,0.747,1
54.31,0.893,391.355,0.108,18,0.903,1
47.666,1.254,547.167,0.308,36,0.934,0
24.97,1.296,446.156,0.196,42,1.311,0
50.703,1.523,609.466,0.046,9,1.185,0
54.159,0.881,360.35,0.128,35,1.23,0
53.397,1.086,506.455,0.093,6,1.164,0
61.212,0.738,603.029,0.109,45,1.189,1
57.509,1.133,190.205,0.022,54,0.862,1
51.888,0.968,818.245,0.087,9,0.96,1
43.948,1.339,457.527,0.265,20,0.802,0
20.086,0.934,196.244,0.166,6,0.958,0
51.444,0.797,523.714,0.0,51,1.137,1
48.115,0.979,505.017,0.217,13,1.027,0
49.074,0.754,487.716,0.207,45,1.262,0
25.849,1.163,648.679,0.091,22,0.772,1
28.784,0.74,612.117,0.177,13,1.1,0
60.797,1.054,544.681,0.051,17,0.75,1
44.407,0.738,567.523,0.082,48,1.019,1
55.223,1.002,484.346,0.24,19,1.148,0
45.425,1.297,766.324,0.098,36,0.957,1
45.446,1.104,278.121,0.0,52,1.11,1
59.074,0.92,520.948,0.115,50,0.808,1
37.259,1.045,509.754,0.114,14,0.667,1
46.442,1.053,621.992,0.216,44,1.111,1
38.066,1.121,373.422,0.121,30,1.349,0
38.483,0.845,238.449,0.086,50,0.801,1
40.362,1.139,523.523,0.204,37,1.244,0
48.332,0.644,542.185,0.13,10,1.009,1
37.819,0.956,723.44,0.06,29,0.733,1
63.836,0.977,309.446,0.212,24,0.774,0
31.581,1.145,673.204,0.135,56,1.003,1
42.197,1.053,855.112,0.12,59,0.919,1
38.404,0.839,443.335,0.134,26,0.737,1
66.705,0.902,306.359,0.034,4,0.661,1
47.948,1.08,438.954,0.078,33,0.831,1
60.478,1.038,502.101,0.12,24,1.039,0
22.717,0.963,584.568,0.104,3,0.999,0
49.006,0.978,411.291,0.222,16,0.9,0
58.344,1.154,733.28,0.137,27,1.04,1
46.234,0.972,332.82,0.188,38,1.208,0
60.982,1.037,239.119,0.121,38,1.079,0
37.241,1.375,666.007,0.205,43,0.976,1
66.14,0.836,158.807,0.152,5,1.186,0
79.483,0.772,469.381,0.121,7,0.808,0
39.557,1.168,967.652,0.119,3,0.955,0
38.317,0.948,498.193,0.044,56,0.96,1
66.801,1.002,331.885,0.161,21,0.753,1
68.694,0.933,491.39,0.117,35,0.916,1
37.157,1.011,492.38,0.08,44,0.585,1
38.697,1.29,524.097,0.209,56,1.382,0
40.773,1.17,599.339,0.02,32,0.813,1
24.833,1.179,344.133,0.086,14,1.317,0
31.22,0.838,753.132,0.202,12,1.008,1
29.938,0.877,536.767,0.145,36,1.113,1
33.483,0.624,609.019,0.116,18,0.902,1
44.48,0.929,405.778,0.14,42,1.042,1
48.513,1.194,692.957,0.134,48,1.13,1
68.258,1.128,461.442,0.0,31,1.133,1
30.025,1.017,541.633,0.092,17,1.155,0
59.765,1.047,360.034,0.249,50,0.926,1
41.79,0.947,350.46,0.067,13,0.904,0
44.258,1.081,603.231,0.095,46,0.681,1
55.122,1.165,433.459,0.077,36,1.105,1
28.159,0.808,371.927,0.113,38,1.216,0
50.736,1.095,403.522,0.073,32,1.323,0
47.497,1.19,604.843,0.159,37,1.061,0
52.387,0.988,405.644,0.136,11,0.847,0
49.338,1.155,482.352,0.182,20,0.661,0
81.83,1.472,502.254,0.036,21,1.208,0
35.434,1.034,212.398,0.093,41,0.641,1
37.035,1.109,279.331,0.102,6,0.932,0
35.653,0.939,550.442,0.156,8,0.955,0
36.668,1.077,389.446,0.057,53,0.986,1
35.439,1.119,658.509,0.193,35,1.007,0
62.835,1.079,645.021,0.215,34,1.028,1
66.308,0.897,607.875,0.041,18,0.517,1
36.439,1.081,772.966,0.081,13,1.003,0
32.515,1.269,487.537,0.077,24,0.554,1
52.071,1.117,597.332,0.331,38,1.146,0
36.717,1.194,412.34,0.086,52,0.889,0
54.494,1.014,867.855,0.254,25,0.569,1
48.044,1.162,797.545,0.019,28,0.837,1
22.264,1.092,501.782,0.041,33,0.886,1
68.213,0.907,557.988,0.065,31,1.238,1
71.938,1.098,703.895,0.052,7,1.039,1
35.808,0.901,477.929,0.099,56,1.069,1
39.184,0.955,401.506,0.063,40,1.236,0
49.288,1.078,631.098,0.054,27,0.981,1
50.017,1.095,511.766,0.213,36,1.151,0
54.878,0.872,527.449,0.218,14,1.137,0
75.153,1.208,374.859,0.196,24,0.743,1
42.346,1.136,242.349,0.162,11,1.295,0
33.026,0.944,535.421,0.127,22,0.716,1
24.31,0.819,635.744,0.08,31,1.183,1
34.036,1.028,466.129,0.044,46,0.697,1
44.503,0.983,715.464,0.149,31,1.12,0
71.918,1.067,394.413,0.026,47,1.372,0
37.236,0.996,341.794,0.04,29,0.957,1
48.357,0.749,489.915,0.212,56,0.949,1
44.754,0.992,487.611,0.272,57,1.122,1
62.826,1.004,615.495,0.151,19,0.934,1
82.904,1.145,383.756,0.209,7,1.364,0
37.037,0.945,705.214,0.1,54,1.038,1
37.658,1.302,795.038,0.013,47,0.936,1
60.662,0.763,494.128,0.169,15,0.892,0
55.228,1.247,687.457,0.166,44,0.813,1
72.701,1.016,341.525,0.126,17,0.874,0
53.759,1.179,661.283,0.101,17,0.93,1
39.611,1.062,657.091,0.197,20,0.902,0
53.86,1.221,629.516,0.041,52,0.868,1
61.631,0.992,497.666,0.058,4,1.42,0
57.307,0.885,56.863,0.039,25,0.794,0
52.609,1.263,403.741,0.127,45,1.029,0
61.0,1.033,406.113,0.033,15,1.119,0
62.539,1.083,353.262,0.065,45,1.126,1
65.732,1.235,518.336,0.064,6,0.988,0
54.731,0.895,437.155,0.099,49,0.952,1
42.493,1.139,376.308,0.001,56,1.09,1
47.201,0.962,341.18,0.127,57,1.053,0
63.098,1.03,392.673,0.22,27,0.948,0
32.746,1.061,668.225,0.131,13,0.688,1
50.53,0.825,400.846,0.243,52,0.906,1
39.1,0.933,422.759,0.227,50,0.771,1
45.431,1.253,431.495,0.182,44,0.867,1
64.177,1.183,550.849,0.126,14,1.007,0
47.866,1.041,568.437,0.122,15,1.072,0
45.697,1.086,50.0,0.181,11,1.356,0
24.602,1.006,653.245,0.089,55,0.893,1
56.194,1.253,715.455,0.0,47,1.155,1
54.682,1.02,342.472,0.159,40,1.061,0
77.449,1.085,354.155,0.03,8,1.259,0
40.383,1.222,432.462,0.043,45,1.115,1
48.287,0.933,386.599,0.12,53,0.798,1
48.741,1.284,533.589,0.112,45,0.655,1
68.662,0.82,208.021,0.007,12,1.062,0
43.571,1.294,332.311,0.133,25,0.894,0
49.185,0.994,730.88,0.197,17,0.804,1
54.118,1.014,360.767,0.03,47,0.746,1
47.799,0.766,686.514,0.222,25,1.032,1
38.303,0.982,553.301,0.0,42,1.302,1
47.911,0.894,228.61,0.289,39,0.918,0
61.104,0.959,595.299,0.087,36,1.118,1
29.602,1.029,482.35,0.132,18,0.98,0
46.995,1.194,431.68,0.0,47,0.742,1
34.498,1.081,536.744,0.115,53,1.147,1
62.926,1.096,571.195,0.138,43,0.781,1
22.152,0.886,606.139,0.113,49,1.004,1
36.616,0.918,676.738,0.075,34,0.932,1
50.658,1.32,561.22,0.044,40,1.179,0
68.483,0.94,293.655,0.21,42,0.788,1
44.014,1.298,428.953,0.122,58,1.078,0
36.672,1.014,941.457,0.243,48,0.832,1
73.217,1.05,608.674,0.078,7,0.898,1
23.28,1.211,855.393,0.085,19,0.5,1
12.018,1.241,709.315,0.185,24,1.418,0
51.6,1.033,536.27,0.0,41,1.11,1
37.469,0.992,545.211,0.023,43,0.847,1
29.682,1.042,494.513,0.208,50,0.775,1
55.625,1.101,239.329,0.026,20,0.901,0
48.657,1.184,502.707,0.0,30,1.143,0
36.539,1.051,681.601,0.269,15,0.622,1
25.795,1.143,410.054,0.008,52,0.972,1
58.087,1.296,561.793,0.135,44,1.354,0
54.753,1.107,627.739,0.126,3,0.773,1
43.512,1.097,363.548,0.0,55,1.016,1
72.7,0.822,432.305,0.099,52,1.441,1
28.949,0.655,347.313,0.156,21,1.126,0
22.117,1.108,376.675,0.148,36,1.025,0
34.621,1.036,306.859,0.192,6,1.101,0
44.316,0.973,364.933,0.089,45,0.92,1
48.65,1.087,712.918,0.177,5,1.26,0
41.381,1.041,362.678,0.065,43,0.92,1
50.281,1.219,518.969,0.007,12,0.608,1
26.227,1.063,424.57,0.016,30,0.922,1
66.656,0.938,676.83,0.003,36,0.807,1
43.768,1.199,696.674,0.201,41,0.944,0
61.759,1.017,629.61,0.0,49,0.948,1
50.141,1.129,545.92,0.142,21,1.239,0
51.851,0.978,465.341,0.099,44,1.139,1
53.547,0.953,321.219,0.112,58,1.053,1
51.716,1.063,791.529,0.229,54,0.999,1
54.641,1.052,386.049,0.085,48,0.788,1
64.937,1.122,599.547,0.169,38,0.564,1
47.948,1.01,658.935,0.123,59,1.023,1
55.635,0.775,416.708,0.108,45,1.159,1
43.654,0.985,655.702,0.304,5,0.978,0
66.602,1.169,614.632,0.005,25,0.893,1
34.854,1.005,759.195,0.223,19,1.093,0
72.014,1.013,429.598,0.173,9,0.983,0
44.398,1.198,307.12,0.082,28,1.337,0
23.538,0.943,424.177,0.25,45,1.247,0
46.922,0.819,531.328,0.0,20,1.192,1
34.784,1.026,508.732,0.078,48,1.152,1
57.61,0.977,440.984,0.023,48,0.742,1
35.211,0.905,213.62,0.153,8,1.133,0
38.307,1.024,570.572,0.031,33,1.075,1
16.657,1.124,795.852,0.155,31,1.121,1
38.215,1.049,569.638,0.105,11,1.099,0
10.0,1.096,591.37,0.082,56,1.091,1
21.241,1.322,585.867,0.151,37,1.54,0
56.406,0.999,559.557,0.099,19,0.985,1
56.787,1.092,639.75,0.033,14,1.187,1
51.382,0.974,559.306,0.344,38,0.906,1
30.495,0.923,453.098,0.081,54,1.158,0
44.284,0.962,380.602,0.0,50,1.188,1
44.946,0.978,462.654,0.053,26,1.073,1
27.625,1.104,547.119,0.019,12,1.334,0
67.551,1.402,452.588,0.186,60,0.823,1
58.16,0.943,547.151,0.146,32,0.903,0
41.686,0.988,565.873,0.152,31,1.042,1
45.403,1.041,624.977,0.09,41,1.176,1
48.126,1.109,692.419,0.098,12,1.036,0
14.374,1.09,511.701,0.09,41,1.257,0
41.292,1.243,303.834,0.114,57,0.868,1
34.77,0.686,448.234,0.187,30,0.772,1
29.976,0.692,506.609,0.147,20,1.062,0
40.783,0.976,224.635,0.16,43,0.985,0
71.965,1.215,708.3,0.16,56,1.109,0
54.613,0.815,521.357,0.191,52,0.995,1
36.432,0.6,557.203,0.143,19,0.932,0
53.589,1.136,704.829,0.149,13,0.985,0
65.99,1.087,405.479,0.215,3,1.006,0
58.87,0.886,586.106,0.067,19,0.939,1
45.894,0.902,483.52,0.052,38,0.959,1
35.296,0.905,472.387,0.025,38,0.919,1
55.473,1.067,384.171,0.135,48,1.171,0
50.902,0.956,749.84,0.0,11,1.039,1
58.428,1.124,443.675,0.157,47,1.451,0
54.528,0.622,604.92,0.111,30,1.032,1
60.743,0.921,218.749,0.211,50,0.89,0
36.971,0.881,676.998,0.066,35,1.534,0
64.761,1.012,657.832,0.104,5,1.083,0
47.964,0.969,514.615,0.21,53,1.198,0
76.129,1.17,465.959,0.231,10,1.118,0
34.662,0.771,560.0,0.066,52,1.125,1
71.039,1.057,843.319,0.135,8,1.107,0
47.969,1.134,235.514,0.144,54,0.78,1
35.229,1.328,617.304,0.15,60,1.074,1
37.742,0.978,363.257,0.099,8,0.735,0
40.195,1.099,497.012,0.223,31,0.965,0
51.362,0.779,462.818,0.0,39,0.855,1
52.843,0.691,435.752,0.086,14,1.071,0
36.394,1.177,498.43,0.156,11,1.067,0
44.635,1.049,329.874,0.157,43,1.096,0
77.134,1.227,654.377,0.228,51,1.057,1
70.913,0.844,230.878,0.216,21,0.879,0
51.545,1.128,580.965,0.097,19,0.948,1
45.57,1.33,451.02,0.224,56,1.184,0
46.8,1.113,324.361,0.063,50,1.214,0
54.203,1.091,530.358,0.194,46,0.771,1
29.658,1.051,266.457,0.265,34,0.694,0
41.139,0.814,505.957,0.217,37,0.855,1
19.971,1.253,286.568,0.128,16,1.209,0
50.988,0.958,569.191,0.093,51,1.243,1
54.708,1.126,361.346,0.0,56,0.815,1
37.752,0.816,432.351,0.145,18,1.061,0
68.61,0.873,544.092,0.031,23,1.367,1
26.614,1.265,384.119,0.057,14,1.083,0
23.034,0.998,491.305,0.025,26,1.284,0
48.367,1.268,272.925,0.083,36,1.2,0
60.706,1.038,594.631,0.118,10,0.818,1
70.259,0.774,764.737,0.142,46,0.962,1
38.117,1.184,918.831,0.072,23,1.007,1
61.18,0.962,513.675,0.206,50,1.021,1
44.422,1.155,618.231,0.103,10,1.183,0
42.411,1.054,232.906,0.057,30,1.082,0
58.255,0.819,725.41,0.138,18,0.5,1
54.785,1.075,616.434,0.277,12,0.737,0
21.354,1.379,427.41,0.147,54,0.563,1
67.148,1.124,685.577,0.091,17,1.035,0
65.701,1.041,461.829,0.0,6,1.048,0
35.617,1.211,431.296,0.102,28,1.057,0
50.937,1.082,571.3,0.139,17,0.808,1
52.41,1.081,340.497,0.089,38,1.135,0
48.91,0.886,653.244,0.0,34,1.143,1
36.745,1.085,341.602,0.052,45,0.749,1
34.926,1.205,342.492,0.236,40,0.707,0
44.617,0.925,363.547,0.235,6,1.0,0
62.591,1.264,613.925,0.049,43,1.358,0
53.154,1.036,407.484,0.174,11,1.34,0
39.441,0.917,297.801,0.026,37,1.113,1
56.575,1.2,409.148,0.232,57,0.854,1
10.0,1.007,495.194,0.14,30,1.177,0
62.231,1.164,322.854,0.196,39,0.91,0
18.904,1.006,327.248,0.0,49,0.846,1
39.563,1.041,816.694,0.174,11,0.571,1
28.205,1.124,370.915,0.119,4,1.02,0
25.58,1.094,451.544,0.188,5,0.874,1
62.412,0.751,444.914,0.193,60,1.019,1
37.984,0.882,436.796,0.125,55,0.54,1
50.198,1.189,593.202,0.072,46,1.034,1
44.296,1.03,642.221,0.182,50,0.514,1
52.156,0.971,454.107,0.115,7,1.218,0
46.152,0.846,314.528,0.05,12,1.104,0
25.755,0.888,691.166,0.046,30,0.944,1
59.944,0.747,485.699,0.002,17,1.113,1
37.594,1.035,759.548,0.079,16,0.804,1
21.651,0.96,163.162,0.208,48,1.014,0
38.578,0.905,529.31,0.134,25,1.159,1
67.511,1.04,787.791,0.078,15,0.5,1
57.753,1.105,447.01,0.184,18,0.911,0
39.77,1.364,466.176,0.053,32,0.995,0
39.761,0.823,544.327,0.128,42,0.961,1
40.175,1.224,416.181,0.106,10,1.291,0
76.151,1.196,453.189,0.182,19,0.775,1
50.729,0.933,449.328,0.0,32,0.876,1
51.451,1.08,405.887,0.052,19,0.617,1
60.454,0.981,684.328,0.0,37,1.302,1
48.582,1.078,569.162,0.099,3,0.951,0
41.114,1.276,537.594,0.217,51,0.912,1
42.055,1.141,621.286,0.08,60,0.99,1
43.926,1.126,460.347,0.079,26,1.127,0
44.442,0.985,383.869,0.19,50,1.069,0
55.914,0.827,409.606,0.205,51,1.53,0
45.779,1.019,500.267,0.113,27,1.091,0
55.99,1.231,341.118,0.175,4,0.907,0
43.789,0.821,424.961,0.034,27,0.888,1
46.18,0.892,422.583,0.23,16,0.921,0
15.027,1.069,818.683,0.292,41,0.7,1
58.745,0.902,83.928,0.162,59,1.008,0
50.197,0.931,473.057,0.0,53,1.157,1
59.97,0.986,758.854,0.075,35,0.877,1
10.0,0.845,518.277,0.169,19,0.839,0
76.326,0.904,613.013,0.086,33,1.303,1
42.906,1.156,514.974,0.222,12,0.715,0
61.623,0.854,399.9,0.167,8,0.586,1
29.401,0.81,163.713,0.063,41,0.769,1
54.192,0.955,530.818,0.123,27,0.692,1
29.199,1.16,383.659,0.048,40,1.077,0
35.643,1.02,379.95,0.105,39,0.928,0
73.71,0.98,425.152,0.076,32,0.956,1
42.14,1.057,761.729,0.214,36,1.231,0
48.261,0.788,860.726,0.289,20,0.862,1
58.051,1.124,532.581,0.006,26,1.155,0
52.435,1.108,430.285,0.0,51,1.302,1
47.256,0.989,323.416,0.1,58,0.909,1
50.474,1.201,570.281,0.0,29,1.147,1
81.051,0.881,767.436,0.124,60,0.952,1
44.136,1.219,462.899,0.18,29,1.185,0
48.016,1.073,143.151,0.24,57,0.686,1
60.76,1.0,600.507,0.136,41,0.671,1
61.583,1.047,647.81,0.105,23,0.922,1
62.805,1.034,262.123,0.0,21,0.822,1
54.581,1.233,526.473,0.122,41,0.897,1
27.855,0.888,567.684,0.126,25,0.956,1
69.501,0.936,489.034,0.171,41,1.144,1
27.805,1.205,381.384,0.063,50,0.918,1
49.54,0.961,652.391,0.085,46,0.835,1
33.686,1.185,439.493,0.002,49,0.93,1
44.038,1.305,277.222,0.0,17,0.846,0
49.931,0.99,192.579,0.031,45,0.813,1
49.82,1.152,689.127,0.0,4,0.677,1
51.329,0.877,592.5,0.147,37,1.014,1
69.206,1.163,513.196,0.079,53,0.886,1
51.803,1.08,433.959,0.077,22,1.193,0
41.338,1.121,420.65,0.041,30,0.711,1
59.461,0.953,338.64,0.0,59,0.892,1
62.842,0.801,435.282,0.241,60,1.363,0
26.586,1.125,181.987,0.04,17,0.812,0
53.961,0.74,389.59,0.087,18,0.953,0
55.518,1.002,453.359,0.004,35,0.757,1
40.537,1.191,591.482,0.198,49,0.73,1
65.636,1.079,494.011,0.131,14,1.309,0
42.749,1.342,619.238,0.054,41,1.034,0
46.884,1.204,702.37,0.089,41,1.027,1
42.404,0.952,658.726,0.254,45,0.661,1
45.234,1.054,570.576,0.114,22,1.072,1
28.556,1.043,501.779,0.105,31,1.231,0
23.399,0.813,352.882,0.045,45,1.23,1
68.918,0.909,610.992,0.0,51,1.134,1
32.296,0.966,751.962,0.107,5,0.774,1
30.129,0.745,551.316,0.146,50,1.063,1
12.699,1.057,787.589,0.208,7,1.134,0
35.416,1.013,271.164,0.0,4,0.641,0
25.154,0.799,326.875,0.03,25,0.776,1
69.63,1.111,628.28,0.074,28,1.178,0
60.147,1.157,539.644,0.12,28,1.175,0
34.678,1.084,697.067,0.108,9,0.69,1
